,time,event,type,channel_x,parameter1,parameter2,parameterMetaSystem,track_x,length,track_y,channel_y,note,notename,velocity
0,0.0,Time Signature,58,0.0,0.0,0.0,"4/4, 24 clocks/tick, 8 1/32 notes / 24 clocks",1,,,,,,
1,0.0,Set Tempo,51,0.0,0.0,0.0,555550,1,,,,,,
2,136704.0,Set Tempo,51,0.0,0.0,0.0,566030,1,700.0,3.0,1.0,36.0,C,82.0
3,136704.0,Set Tempo,51,0.0,0.0,0.0,566030,1,328.0,5.0,3.0,67.0,g',73.0
4,136704.0,Set Tempo,51,0.0,0.0,0.0,566030,1,96.0,11.0,9.0,35.0,"B,",82.0
5,136704.0,Set Tempo,51,0.0,0.0,0.0,566030,1,108.0,11.0,9.0,42.0,F#,72.0
6,136704.0,Set Tempo,51,0.0,0.0,0.0,566030,1,80.0,11.0,9.0,52.0,e,64.0
7,137472.0,Set Tempo,51,0.0,0.0,0.0,576920,1,748.0,2.0,0.0,45.0,A,97.0
8,137472.0,Set Tempo,51,0.0,0.0,0.0,576920,1,804.0,2.0,0.0,59.0,b,83.0
9,137472.0,Set Tempo,51,0.0,0.0,0.0,576920,1,820.0,2.0,0.0,64.0,e',83.0
10,137472.0,Set Tempo,51,0.0,0.0,0.0,576920,1,700.0,3.0,1.0,33.0,"A,",82.0
11,137472.0,Set Tempo,51,0.0,0.0,0.0,576920,1,96.0,11.0,9.0,54.0,f#,91.0
12,141312.0,Set Tempo,51,0.0,0.0,0.0,555550,1,,,,,,
13,148992.0,Set Tempo,51,0.0,0.0,0.0,566030,1,1524.0,5.0,3.0,69.0,a',56.0
14,148992.0,Set Tempo,51,0.0,0.0,0.0,566030,1,48.0,11.0,9.0,55.0,g,38.0
15,148992.0,Set Tempo,51,0.0,0.0,0.0,566030,1,48.0,11.0,9.0,59.0,b,64.0
16,148992.0,Set Tempo,51,0.0,0.0,0.0,566030,1,112.0,11.0,9.0,70.0,a#',69.0
17,149376.0,Set Tempo,51,0.0,0.0,0.0,576920,1,112.0,11.0,9.0,70.0,a#',52.0
18,149760.0,Set Tempo,51,0.0,0.0,0.0,588230,1,,,,,,
19,150144.0,Set Tempo,51,0.0,0.0,0.0,6e+05,1,,,,,,
20,150528.0,Set Tempo,51,0.0,0.0,0.0,666660,1,24.0,11.0,9.0,51.0,d#,52.0
21,152064.0,Set Tempo,51,0.0,0.0,0.0,555550,1,1468.0,2.0,0.0,61.0,c#',70.0
22,156672.0,Set Tempo,51,0.0,0.0,0.0,566030,1,1316.0,2.0,0.0,50.0,d,92.0
23,156672.0,Set Tempo,51,0.0,0.0,0.0,566030,1,156.0,2.0,0.0,57.0,a,83.0
24,156672.0,Set Tempo,51,0.0,0.0,0.0,566030,1,536.0,2.0,0.0,66.0,f#',92.0
25,156672.0,Set Tempo,51,0.0,0.0,0.0,566030,1,744.0,2.0,0.0,74.0,d'',66.0
26,156672.0,Set Tempo,51,0.0,0.0,0.0,566030,1,24.0,11.0,9.0,51.0,d#,52.0
27,158208.0,Set Tempo,51,0.0,0.0,0.0,576920,1,,,,,,
28,158592.0,Set Tempo,51,0.0,0.0,0.0,588230,1,1036.0,15.0,13.0,72.0,c'',31.0
29,158976.0,Set Tempo,51,0.0,0.0,0.0,6e+05,1,444.0,4.0,2.0,88.0,e''',30.0
30,165888.0,End of Track,2f,0.0,0.0,0.0,0,1,,,,,,
31,0.0,Sequence/Track Name,03,0.0,0.0,0.0,E.PIANO 2,2,,,,,,
32,384.0,Controller,0,0.0,0.0,0.0,0,2,,,,,,
33,392.0,Program Change,0,0.0,5.0,0.0,0,2,,,,,,
34,396.0,Controller,0,0.0,7.0,127.0,0,2,,,,,,
35,396.0,Controller,0,0.0,10.0,64.0,0,2,,,,,,
36,396.0,Controller,0,0.0,11.0,127.0,0,2,,,,,,
37,400.0,Controller,0,0.0,91.0,100.0,0,2,,,,,,
38,400.0,Controller,0,0.0,93.0,20.0,0,2,,,,,,
39,3072.0,Note On,0,0.0,46.0,83.0,0,2,1460.0,2.0,0.0,46.0,A#,83.0
40,3072.0,Note On,0,0.0,46.0,83.0,0,2,3016.0,4.0,2.0,65.0,f',32.0
41,3072.0,Note On,0,0.0,46.0,83.0,0,2,112.0,11.0,9.0,70.0,a#',69.0
42,3072.0,Note On,0,0.0,46.0,83.0,0,2,60.0,12.0,10.0,41.0,F,48.0
43,3072.0,Note On,0,0.0,46.0,83.0,0,2,132.0,13.0,11.0,46.0,A#,69.0
44,3260.0,Note On,0,0.0,53.0,70.0,0,2,204.0,2.0,0.0,53.0,f,70.0
45,3448.0,Note On,0,0.0,51.0,74.0,0,2,184.0,2.0,0.0,51.0,d#,74.0
46,3456.0,Note On,0,0.0,60.0,83.0,0,2,192.0,2.0,0.0,60.0,c',83.0
47,3456.0,Note On,0,0.0,60.0,83.0,0,2,112.0,11.0,9.0,70.0,a#',52.0
48,3464.0,Note Off,0,0.0,53.0,70.0,0,2,,,,,,
49,3632.0,Note Off,0,0.0,51.0,74.0,0,2,984.0,13.0,11.0,53.0,f,61.0
50,3636.0,Note On,0,0.0,53.0,83.0,0,2,960.0,2.0,0.0,53.0,f,83.0
51,3644.0,Note On,0,0.0,62.0,83.0,0,2,980.0,2.0,0.0,62.0,d',83.0
52,3648.0,Note Off,0,0.0,60.0,83.0,0,2,2084.0,4.0,2.0,74.0,d'',32.0
53,3648.0,Note Off,0,0.0,60.0,83.0,0,2,220.0,11.0,9.0,70.0,a#',32.0
54,4532.0,Note Off,0,0.0,46.0,83.0,0,2,,,,,,
55,4596.0,Note Off,0,0.0,53.0,83.0,0,2,,,,,,
56,4600.0,Note On,0,0.0,46.0,85.0,0,2,168.0,2.0,0.0,46.0,A#,85.0
57,4624.0,Note Off,0,0.0,62.0,83.0,0,2,,,,,,
58,4768.0,Note Off,0,0.0,46.0,85.0,0,2,,,,,,
59,4792.0,Note On,0,0.0,46.0,74.0,0,2,1328.0,2.0,0.0,46.0,A#,74.0
60,4792.0,Note On,0,0.0,46.0,74.0,0,2,1300.0,13.0,11.0,46.0,A#,52.0
61,4980.0,Note On,0,0.0,62.0,85.0,0,2,196.0,2.0,0.0,62.0,d',85.0
62,4980.0,Note On,0,0.0,62.0,85.0,0,2,196.0,13.0,11.0,53.0,f,55.0
63,4984.0,Note On,0,0.0,53.0,74.0,0,2,192.0,2.0,0.0,53.0,f,74.0
64,5172.0,Note On,0,0.0,63.0,92.0,0,2,1004.0,2.0,0.0,63.0,d#',92.0
65,5176.0,Note Off,0,0.0,53.0,74.0,0,2,412.0,2.0,0.0,55.0,g,83.0
66,5176.0,Note Off,0,0.0,62.0,85.0,0,2,412.0,2.0,0.0,55.0,g,83.0
67,5176.0,Note On,0,0.0,55.0,83.0,0,2,412.0,2.0,0.0,55.0,g,83.0
